# data_asof_utc: 2026-07-08T16:46:57Z
# data_asof_et: 2026-07-08T12:46:57.936000-04:00
# market_state: OPEN_RTH
# tz_base: America/New_York ET wall time no offset suffix | dst_active: true
# cmf_period: 50
Symbol,Datetime,Open,High,Low,Close,Volume,EMA_20,EMA_50,EMA_100,EMA_200,RSI,OBV,CMF,VWAP,FVG,RVOL,RVOL_Deviation,IPI,IPI_Status,Is_Closed_Bar,Session,Session_Minutes,Rvol_Tod,Atr14,Dollar_Volume,Gap_Flag,Split_Adjusted,Last_Split,Ema_Stack,Ipi_Valid
AAOI,2026-06-30 13:00:00,145.58,148.38,144.9,148.25,88018.0,145.8263029073048,144.12609078530906,147.7896439998782,154.58779398292722,50.45358537852772,-312803.0,0.0883286502761097,147.85011331464528,,0.7388227485042544,-26.117725149574554,39.180781875115805,Neutral,True,RTH,60.0,0.7388227485042544,3.2508117081124577,13048668.5,0.0,True,N/A,mixed,True
AAOI,2026-06-30 14:00:00,148.47,151.41,148.44,150.06,123606.0,146.22951215422816,144.3587931074538,147.83460154443506,154.54274130648017,51.421841948251945,-189197.0,0.08213996008795983,148.28590656268727,,0.9325398115047123,-6.746018849528768,65.71413808626909,Institutional Accumulation,True,RTH,60.0,0.9325398115047123,3.2443251575329963,18548316.36,0.0,True,N/A,mixed,True
AAOI,2026-06-30 15:00:00,149.91,150.37,148.08,148.16,86556.0,146.41336813953976,144.50786004441642,147.84104507820862,154.47923144273412,50.367509322751815,-275753.0,0.05544686542541161,148.35940854001018,,0.4936641719375661,-50.633582806243396,-61.93336470456825,Institutional Distribution,True,RTH,60.0,0.4936641719375661,3.1761590748520674,12824136.959999999,0.0,True,N/A,mixed,True
AAOI,2026-06-30 16:00:00,148.16,148.59,146.26,147.3,5248.0,146.49780926910742,144.61735572894912,147.83033131428368,154.40779630400044,49.89500491863114,-281001.0,0.05352933029585463,148.35201766903245,-0.36000000000001364,0.2431465351333628,-75.68534648666372,,N/A (ext),True,POST,60.0,0.2431465351333628,3.1157191409340634,773030.4,0.0,True,N/A,mixed,False
AAOI,2026-06-30 17:00:00,147.11,147.72,147.07,147.65,722.0,146.60754171966863,144.73628295526484,147.82676039716915,154.3405545497318,50.0894474563764,-280279.0,0.05311470779017275,148.3511102062701,,0.18724066390041494,-81.2759336099585,,N/A (ext),True,POST,60.0,0.18724066390041494,2.9395963451530593,106603.3,0.0,True,N/A,mixed,False
AAOI,2026-06-30 18:00:00,147.5,147.97,147.06,147.4,3012.0,146.68301393684305,144.84074244721523,147.8183096962351,154.27149430545586,49.94816907241758,-283291.0,0.05763574756953008,148.34733038083496,,0.5469473520370443,-45.305264796295575,,N/A (ext),True,POST,60.0,0.5469473520370443,2.7946251776421267,443968.8,0.0,True,N/A,mixed,False
AAOI,2026-06-30 19:00:00,147.55,147.87,147.39,147.7,1252.0,146.7798697523818,144.95287019438325,147.815966929973,154.20610630241652,50.12043813004687,-282039.0,0.05845023435854167,148.34608567326063,-0.5999999999999943,0.32047390938677,-67.952609061323,,N/A (ext),True,POST,60.0,0.32047390938677,2.6292948078105476,184920.4,0.0,True,N/A,mixed,False
AAOI,2026-07-01 04:00:00,146.25,146.46,145.02,145.26,4082.0,146.635120252155,144.96491450048586,147.76535372343886,154.1170903193079,48.72852207396215,-286121.0,0.05768174124754715,145.58,-1.6899999999999977,0.3044061874121106,-69.55938125878893,,N/A (ext),True,PRE,60.0,0.3044061874121106,2.6329166072526498,592951.32,-0.9817197020988414,True,N/A,mixed,False
AAOI,2026-07-01 05:00:00,145.49,145.7,145.1,145.7,978.0,146.5460611805212,144.99374138281976,147.72445562990544,154.03333817682721,48.98919572290107,-285143.0,0.05915638030451548,145.56453754940713,,0.142375842276017,-85.7624157723983,,N/A (ext),True,PRE,60.0,0.142375842276017,2.4877082781631743,142494.59999999998,0.0,True,N/A,mixed,False
AAOI,2026-07-01 06:00:00,145.58,146.07,145.15,146.07,3627.0,146.50072202047156,145.03594760310133,147.69169413228354,153.9541009810379,49.210768249723806,-281516.0,0.06270516463876778,145.64753885115692,,0.6656354460247755,-33.436455397522444,,N/A (ext),True,PRE,60.0,0.6656354460247755,2.3757291154372324,529795.89,0.0,True,N/A,mixed,False
