# data_asof_utc: 2026-07-08T19:00:35Z
# data_asof_et: 2026-07-08T15:00:35.696988-04:00
# market_state: OPEN_RTH
# tz_base: America/New_York ET wall time no offset suffix | dst_active: true
# cmf_period: 50
Symbol,Datetime,Open,High,Low,Close,Volume,EMA_20,EMA_50,EMA_100,EMA_200,RSI,OBV,CMF,VWAP,FVG,RVOL,RVOL_Deviation,IPI,IPI_Status,Is_Closed_Bar,Session,Session_Minutes,Rvol_Tod,Atr14,Dollar_Volume,Gap_Flag,Split_Adjusted,Last_Split,Ema_Stack,Ipi_Valid
AAOI,2026-06-30 15:00:00,149.91,150.37,148.08,148.16,86556.0,146.41336813978242,144.50800558996443,147.85326398102592,154.59114860287573,49.13989918800955,-292740.0,0.05544686542541161,148.35940854001018,,0.4936641719375661,-50.633582806243396,-61.93336470456826,Institutional Distribution,True,RTH,60.0,0.4936641719375661,3.1761588717426426,12824136.959999999,0.0,True,N/A,mixed,True
AAOI,2026-06-30 16:00:00,148.16,148.59,146.26,147.3,5248.0,146.49780926932695,144.61749556682858,147.84230825862934,154.51859986055857,48.687329175005075,-297988.0,0.05352933029585463,148.35201766903245,-0.36000000000001364,0.2431465351333628,-75.68534648666372,,N/A (ext),True,POST,60.0,0.2431465351333628,3.115718952332455,773030.4,0.0,True,N/A,mixed,False
AAOI,2026-06-30 17:00:00,147.11,147.72,147.07,147.65,722.0,146.60754171986724,144.7364173093059,147.83850017430004,154.4502555833391,48.88283593669804,-297266.0,0.05311470779017275,148.3511102062701,,0.20525268429224341,-79.47473157077566,,N/A (ext),True,POST,60.0,0.20525268429224341,2.9395961700229942,106603.3,0.0,True,N/A,mixed,False
AAOI,2026-06-30 18:00:00,147.5,147.97,147.06,147.4,3012.0,146.68301393702274,144.84087153247037,147.8298170025317,154.38010378648997,48.74746199951086,-300278.0,0.05763574756953008,148.34733038083496,,0.5858256407187421,-41.41743592812579,,N/A (ext),True,POST,60.0,0.5858256407187421,2.7946250150213516,443968.8,0.0,True,N/A,mixed,False
AAOI,2026-06-30 19:00:00,147.55,147.87,147.39,147.7,1252.0,146.77986975254439,144.95299421747154,147.8272463688182,154.31363509209706,48.920674404372974,-299026.0,0.05845023435854167,148.34608567326063,-0.5999999999999943,0.32047390938677,-67.952609061323,,N/A (ext),True,POST,60.0,0.32047390938677,2.629294656805542,184920.4,0.0,True,N/A,mixed,False
AAOI,2026-07-01 04:00:00,146.25,146.46,145.02,145.26,4082.0,146.63512025230204,144.96503365992362,147.77640980705942,154.22354917078266,47.58597016762949,-303108.0,0.05768174124754715,145.58,-1.6899999999999977,0.3044061874121106,-69.55938125878893,,N/A (ext),True,PRE,60.0,0.3044061874121106,2.6329164670337164,592951.32,-0.9817197020988414,True,N/A,mixed,False
AAOI,2026-07-01 05:00:00,145.49,145.7,145.1,145.7,978.0,146.54606118065425,144.99385586933838,147.73529278117707,154.13873773624752,47.84778973269823,-302130.0,0.05915638030451548,145.56453754940713,,0.142375842276017,-85.7624157723983,,N/A (ext),True,PRE,60.0,0.142375842276017,2.487708147959879,142494.59999999998,0.0,True,N/A,mixed,False
AAOI,2026-07-01 06:00:00,145.58,146.07,145.15,146.07,3627.0,146.50072202059192,145.03605759995256,147.70231668650027,154.0584517886232,48.070373105863176,-298503.0,0.06270516463876778,145.64753885115692,,0.6656354460247755,-33.436455397522444,,N/A (ext),True,PRE,60.0,0.6656354460247755,2.375728994534173,529795.89,0.0,True,N/A,mixed,False
AAOI,2026-07-01 07:00:00,146.08,146.4,145.18,145.52,4381.0,146.4073199233927,145.05503573328775,147.6591024946884,153.97349206933342,47.761179903346935,-302884.0,0.06253822944704879,145.66512626262627,,0.3607351860020585,-63.926481399794156,,N/A (ext),True,PRE,60.0,0.3607351860020585,2.2931769234960178,637523.12,0.0,True,N/A,mixed,False
AAOI,2026-07-01 08:00:00,145.53,145.71,140.61,141.01,21516.0,145.89328945449813,144.89640688100195,147.52743709875395,153.8445020984943,45.321970929325595,-324400.0,0.05584411549399446,143.6607283715013,,0.8440791667483964,-15.592083325160356,,N/A (ext),True,PRE,60.0,0.8440791667483964,2.493664286103445,3033971.1599999997,0.0,True,N/A,mixed,False
